Артикул;Цена;Размеры внешние;Вес, кг;Количество ярусов хранения;Максимальная нагрузка;Цвет;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Стеллаж SBL 180KD/75x35/5;6314руб.;1803x750x350;14.4;5;170;RAL 7016 муар;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Окраска RAL 7016 муарНесколько вариантов сборки;https://www.safe.ru/upload/iblock/fd6/sbl_180_kd_90_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/61f/450_490_1/sbl_180_kd_90_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/165/450_490_1/SBL_180KD_75_35_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/c8b/450_490_1/sbl_180_kd_90_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/187/450_490_1/sbl_180_kd_90_14.jpg
Стеллаж SBL 180KD/75x35/5 оцинкованный;6314руб.;1803x750x350;14.4;5;170;оцинкованная сталь;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Изготовлены из оцинкованного металлаНесколько вариантов сборки;https://www.safe.ru/upload/iblock/481/jzoznz05yhd4gk7ogg1c9hya0op968tf/sbl_otshink_180_kd_75x35-5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/e88/pejlxb0vmzrzlolbeezxn4qcj7a75i67/450_490_1/sbl_otshink_180_kd_75x35-5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/6ef/3g9e3s4huijhzhvazuu531beudukhhdi/450_490_1/sbl_otshink_180_kd_75x35-5_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/b40/pxnkm5123ln85zlxxhv3ajui7cuq2qbh/450_490_1/sbl_otshink_180_kd_75x35-5_3.jpg;
Стеллаж SBL 180KD/90x40/5;6865руб.;1803x900x400;17.4;5;170;RAL 7016 муар;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Окраска RAL 7016 муарНесколько вариантов сборки;https://www.safe.ru/upload/iblock/453/SBL_180KD_90_40_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/242/450_490_1/sbl_180_kd_90_6.jpg;https://www.safe.ru/upload/resize_cache/iblock/995/450_490_1/SBL_180KD_90_40_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f0c/450_490_1/sbl_180_kd_90_14.jpg;https://www.safe.ru/upload/resize_cache/iblock/d49/450_490_1/sbl_180_kd_90_12.jpg
Стеллаж SBL 180KD/90x40/5 оцинкованный;6865руб.;1803x900x400;17.4;5;170;оцинкованная сталь;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Изготовлены из оцинкованного металлаНесколько вариантов сборки;https://www.safe.ru/upload/iblock/145/be900im0gi2038ost1catqwkpx8k4j03/sbl_otshink_180_kd_90x40-5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/129/4a8bham755ywunrzy3a4cz2g3ymjq6mp/450_490_1/sbl_otshink_180_kd_75x35-5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/766/6nyho2pufwyh1r3md28du1g02nurbs73/450_490_1/sbl_otshink_180_kd_75x35-5_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/eb2/upuf2ths0sjz5b1r7fw145fbp2f9nvjp/450_490_1/sbl_otshink_180_kd_75x35-5_3.jpg;
Стеллаж SBL 180KD/90x45/5;7538руб.;1803x900x450;22.2;5;170;RAL 7016 муар;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Окраска RAL 7016 муарНесколько вариантов сборки;https://www.safe.ru/upload/iblock/46a/SBL_180KD_90_45_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/9d8/450_490_1/SBL_180KD_90_45_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/cc0/450_490_1/sbl_180_kd_90_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/074/450_490_1/sbl_180_kd_90_12.jpg;https://www.safe.ru/upload/resize_cache/iblock/55e/450_490_1/sbl_180_kd_90_14.jpg
Стеллаж SBL 180KD/90x45/5 оцинкованный;7538руб.;1803x900x450;22.2;5;170;оцинкованная сталь;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Изготовлены из оцинкованного металлаНесколько вариантов сборки;https://www.safe.ru/upload/iblock/d37/3k9xe7bpvn3ul1aeupv6ok13vw0nesw5/sbl_otshink_180_kd_90x45-5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/570/a7sx026gg3f2gwf6h7pzyeaqr23m354x/450_490_1/sbl_otshink_180_kd_75x35-5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/109/oo7p3ig4as27yoepzc505kltv5k9j6wj/450_490_1/sbl_otshink_180_kd_75x35-5_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/8ed/krcrs4t11ne1cgue0antv7h5h8ka72dt/450_490_1/sbl_otshink_180_kd_75x35-5_3.jpg;
Стеллаж SBL 180KD/120x40/5;8854руб.;1803x1200x400;21.3;5;170;RAL 7016 муар;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Окраска RAL 7016 муарНесколько вариантов сборки;https://www.safe.ru/upload/iblock/37d/SBL_180KD_120_40_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/87b/450_490_1/SBL_180KD_120_40_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/40c/450_490_1/sbl_180_kd_90_6.jpg;https://www.safe.ru/upload/resize_cache/iblock/f63/450_490_1/sbl_180_kd_90_7.jpg;https://www.safe.ru/upload/resize_cache/iblock/ca0/450_490_1/sbl_180_kd_90_12.jpg
Стеллаж SBL 180KD/120x40/5 оцинкованный;8048руб.;1803x1200x400;21.3;5;170;оцинкованная сталь;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Изготовлены из оцинкованного металлаНесколько вариантов сборки;https://www.safe.ru/upload/iblock/725/nortfvri0csw4j90dq58i90s551jzuq4/sbl_otshink_180_kd_120x40-5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/d19/3f106vox02kmaijie69ujxc1rsincj8g/450_490_1/sbl_otshink_180_kd_75x35-5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/8ee/mm8yzy62hp6g1kxn57cg6tdxdtsuryx5/450_490_1/sbl_otshink_180_kd_75x35-5_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/711/beoe1rltul8ot209idnm33p1az7nm3o3/450_490_1/sbl_otshink_180_kd_75x35-5_3.jpg;
Стеллаж SBL 180KD/120x45/5;9731руб.;1803x1200x450;22.4;5;170;RAL 7016 муар;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Окраска RAL 7016 муарНесколько вариантов сборки;https://www.safe.ru/upload/iblock/b56/oyalq2p61krxsx1jlrtg947uqhq4a8cq/SBL_180KD_90_40_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/510/450_490_1/sbl_180_kd_90_6.jpg;https://www.safe.ru/upload/resize_cache/iblock/b34/450_490_1/SBL_180KD_75_35_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f2c/450_490_1/sbl_180_kd_90_14.jpg;https://www.safe.ru/upload/resize_cache/iblock/7da/450_490_1/sbl_180_kd_90_12.jpg
Стеллаж SBL 180KD/120x45/5 оцинкованный;8864руб.;1803x1200x450;22.4;5;170;оцинкованная сталь;;ПРОМЕТ;Россия;Стеллаж универсального использования в офисе, дома, гараже или на складе. Пять регулируемых по высоте ярусов.Единая компактная упаковка Быстрая и лёгкая сборка, без применения отверток и ключейСборно-разборная стойкаМаксимальная нагрузка на ярус до 170 кгМаксимальная нагрузка на стеллаж до 750 кгПять ярусов храненияНастил ярусов ДВП Изготовлены из оцинкованного металлаНесколько вариантов сборки;https://www.safe.ru/upload/iblock/11a/hv752rrxy34eat5j1ho2m7389kojrd7u/sbl_otshink_180_kd_120x45-5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/d60/xidk7z1t0sg0potay54dqb20t2hqw5bk/450_490_1/sbl_otshink_180_kd_75x35-5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/9a3/na5i3s8n7jq4aaa5123t08i8lht3nadz/450_490_1/sbl_otshink_180_kd_75x35-5_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/064/90sgpgql39tez8q3say0ecy4tmy2wh6r/450_490_1/sbl_otshink_180_kd_75x35-5_3.jpg;
